date,open,high,low,close,volume
2026-02-03,87610.38,90201.3,86774.85,89546.26,14922.0174
2026-02-04,89589.34,91509.36,88399.19,90826.49,22499.6637
2026-02-05,90789.72,93241.16,88562.13,92519.5,14845.1938
2026-02-06,92505.3,92844.99,90648.73,91990.66,19076.2199
2026-02-07,92046.44,93443.5,89656.88,91686.01,9574.1341
2026-02-08,91659.02,93677.71,88471.06,89450.11,15526.9358
2026-02-09,89477.73,91672.87,88223.98,88448.78,17138.5742
2026-02-14,89021.95,91602.25,86742.7,88099.99,14137.9261
2026-02-13,85880.07,89297.28,83467.75,89005.0,13558.2585
2026-02-12,86183.45,86887.21,85257.6,85897.99,12700.6849
2026-02-11,88600.83,88942.12,86064.42,86200.85,17199.8454
2026-02-10,88405.26,89229.29,87761.55,88556.51,13931.1302
2026-02-15,88083.98,90490.97,84897.02,85889.88,17728.6744
2026-02-16,85897.22,87196.98,85523.66,86672.39,8693.1495
2026-02-17,86649.06,90421.11,84506.39,90249.4,13730.6086
2026-02-18,90284.79,92210.96,87107.29,88913.62,18260.8362
2026-02-19,88910.14,89122.17,86580.52,87231.51,8063.4267
2026-02-20,87222.62,87953.74,84509.81,85024.65,19460.0821
2026-02-21,85027.66,86610.26,84578.75,84825.69,13077.6226
2026-02-22,84860.07,85069.32,81127.42,81891.41,21633.6553
2026-02-23,81877.02,85029.07,81746.46,83725.82,19002.9259
2026-02-24,83740.78,84942.81,81149.98,81296.8,11849.8746
2026-02-25,81270.92,79086.01,81499.18,80232.76,15157.7087
2026-02-26,80213.8,80419.11,78738.29,79045.99,18163.782
2026-02-27,79052.14,81018.39,78009.75,78026.07,19169.6487
2026-02-28,78026.81,79424.98,77531.35,79294.59,11077.3193
2026-03-01,79319.37,80772.89,78848.15,79671.79,18578.4155
2026-03-02,79649.51,80670.73,78834.7,78902.33,14028.654
2026-03-03,78896.37,79421.8,77563.5,77646.12,12688.6362
2026-03-04,77664.99,77751.3,76239.25,77255.29,23012.0499
2026-03-05,77236.48,80462.99,75827.81,79419.88,23002.3532
2026-03-06,79460.21,79559.32,76142.02,77313.91,14736.0212
2026-03-07,77313.86,77574.87,77013.68,77150.55,22434.9549
2026-03-08,77130.54,77903.54,74545.44,76111.01,18181.5641
2026-03-09,76072.72,76845.06,75766.96,76539.5,14281.4483
2026-03-10,76578.89,78454.35,75176.87,75605.43,10280.5955
2026-03-11,75623.83,76640.45,74564.14,75560.92,14904.9627
2026-03-12,75549.24,78687.85,75417.47,77638.43,17908.0857
2026-03-13,77615.94,78775.03,76653.57,76923.5,7604.6738
2026-03-14,76930.8,78637.28,75959.43,76426.69,15654.0801
2026-03-15,76416.14,77812.01,74121.72,75527.81,17447.1504
2026-03-16,75556.25,79329.35,75339.59,77406.04,11260.8762
2026-03-17,77407.5,79079.28,76955.7,78785.72,20619.581
2026-03-18,78761.1,79583.19,75522.06,76012.06,18210.5075
2026-03-19,76025.93,78489.93,72974.92,77930.61,18850.0309
2026-03-20,77911.4,79190.72,75519.93,75595.46,12852.6455
2026-03-21,75631.49,76960.42,73908.4,74105.24,11705.423
2026-03-22,74095.49,75300.37,73316.68,74566.18,18572.6918
2026-03-23,74565.99,74971.71,72687.94,74586.59,15519.1997
2026-03-24,74569.32,76606.65,74007.75,76173.27,14888.6585
2026-03-25,76171.44,76890.85,75959.3,76126.67,20618.9896
2026-03-26,76156.44,76202.21,74574.29,75294.01,12958.1074
2026-03-27,75272.35,76796.9,75159.74,75639.68,17939.0962
2026-03-28,75658.86,77800.3,75600.7,76243.81,12342.7718
2026-03-29,76243.56,76789.18,75064.42,76432.02,12033.3592
2026-03-30,76410.33,79391.41,75990.15,78352.9,13661.4096
2026-03-31,78340.08,79194.43,77225.77,78660.29,13866.1775
2026-04-01,78691.23,79451.22,76721.53,77192.78,18671.6419
2026-04-02,77170.17,79563.98,75546.23,76680.92,17646.7929
2026-04-03,76707.36,77390.47,71755.97,73067.83,16312.9932
2026-04-04,73027.14,75175.21,72949.52,73964.8,20346.9028
2026-04-05,73968.08,75294.85,71619.44,71977.7,15193.9713
2026-04-06,71975.2,72337.34,70899.98,71197.55,13397.3795
2026-04-07,71200.2,72904.08,71068.37,71107.59,18048.7029
2026-04-08,71115.97,71509.13,70861.38,71256.97,17852.6251
2026-04-09,71241.71,72197.81,70811.46,70902.12,14390.6067
2026-04-10,70917.12,73362.23,70618.66,72329.79,8887.3522
2026-04-11,72329.18,72447.4,70400.72,71531.97,18170.9069
2026-04-12,71545.58,72104.15,68767.11,69597.9,21301.4023
2026-04-13,69573.51,70016.8,68029.23,68671.46,14230.9905
2026-04-14,68710.72,69311.47,68018.98,68447.52,14203.5468
2026-04-15,68429.43,69521.22,66357.96,66823.69,16720.495
2026-04-16,66822.88,66854.74,63896.19,64306.06,13068.2946
2026-04-17,64284.78,67967.07,62980.87,67142.23,21816.4867
2026-04-18,67148.94,67514.33,66576.31,66805.6,18820.592
2026-04-19,66802.9,68116.11,66232.41,67873.67,16783.2268
2026-04-20,67903.51,69233.76,66263.93,69012.62,9126.4868
2026-04-21,68983.35,69411.45,67252.8,67392.46,9378.3277
2026-04-22,67394.66,68155.8,65407.93,65628.9,12002.7314
2026-04-23,65639.69,67445.79,64884.8,66193.36,18258.9925
2026-04-24,66204.44,66715.23,63807.84,64869.79,19783.3729
2026-04-25,64852.82,66372.93,64335.22,65750.98,12571.9835
2026-04-26,65766.52,68238.0,65330.66,68046.66,18946.3868
2026-04-27,68035.82,68172.32,65450.12,66049.35,17983.0123
2026-04-28,66035.82,66534.76,62325.38,63778.52,18397.336
2026-04-29,63793.53,66974.44,63480.79,65365.15,14864.9116
2026-04-30,65387.79,67893.41,64349.18,67765.03,17475.7173
