symbol,time_ms,o,h,l,c,base_vol
BTC-USD,1771430400000,78945.59,79590.1,78311.82,78925.45,16255.6355
BTC-USD,1771516800000,78925.45,79161.51,77104.19,77445.13,10534.9453
BTC-USD,1771603200000,77445.13,78083.77,76116.06,76330.15,10594.7203
BTC-USD,1771689600000,76330.15,76680.19,75579.72,75835.08,14496.0468
BTC-USD,1771776000000,75835.08,75993.31,73992.49,75385.21,11740.1705
BTC-USD,1771862400000,75385.21,75724.28,74215.3,75590.96,19682.54
BTC-USD,1771948800000,75590.96,76033.65,73580.95,73979.69,12864.1885
BTC-USD,1772035200000,73979.69,74163.95,72809.79,73110.75,12946.9578
BTC-USD,1772121600000,73110.75,73826.41,71509.82,72367.11,6238.2869
BTC-USD,1772208000000,72367.11,77353.07,71195.76,76155.03,13050.0202
BTC-USD,1772294400000,76155.03,78351.33,75302.47,78272.5,18016.798
BTC-USD,1772380800000,78272.5,78681.05,74291.03,75147.13,12879.3252
BTC-USD,1772467200000,75147.13,76964.47,75057.14,76617.17,19800.3147
BTC-USD,1772553600000,76617.17,77049.89,72731.62,73126.7,10479.3209
BTC-USD,1772640000000,73126.7,75343.08,72917.23,74378.1,7817.9511
BTC-USD,1772726400000,74378.1,74810.92,71471.78,71920.53,9711.6586
BTC-USD,1772812800000,71920.53,74392.67,71245.27,73781.75,11737.7493
BTC-USD,1772899200000,73781.75,74364.35,69231.47,69874.89,10257.7138
BTC-USD,1772985600000,69874.89,70096.06,69769.07,69963.99,8307.6201
BTC-USD,1773072000000,69963.99,72608.65,68475.23,71478.57,11361.1287
BTC-USD,1773158400000,71478.57,71610.65,67073.35,68337.83,6681.8033
BTC-USD,1773244800000,68337.83,71337.02,68090.23,70502.21,17975.308
BTC-USD,1773331200000,70502.21,72737.53,69301.96,72213.72,19535.97
BTC-USD,1773417600000,72213.72,72553.99,69186.18,69721.65,19923.5067
BTC-USD,1773504000000,69721.65,70626.82,65677.38,66927.11,15156.2414
BTC-USD,1773590400000,66927.11,67550.97,65615.71,66301.41,19674.4471
BTC-USD,1773676800000,66301.41,67488.96,65245.72,65450.99,10346.6662
BTC-USD,1773763200000,65450.99,66284.03,65205.36,66058.37,16561.2386
BTC-USD,1773849600000,66058.37,67387.96,62999.54,63502.61,12415.7616
BTC-USD,1773936000000,63502.61,63669.62,62932.47,62984.83,13041.6532
BTC-USD,1774022400000,62984.83,64585.21,62409.51,62662.62,9080.1925
BTC-USD,1774108800000,62662.62,63130.79,60713.28,61852.5,16243.7448
BTC-USD,1774195200000,61852.5,62728.19,61237.15,61562.55,19042.6833
BTC-USD,1774281600000,61562.55,61946.24,61535.43,61768.46,15736.1819
BTC-USD,1774368000000,61768.46,62703.77,61433.53,61663.33,18201.7137
BTC-USD,1774454400000,61663.33,63093.38,59977.04,61995.02,8730.5196
BTC-USD,1774540800000,61995.02,64555.08,61867.09,63979.03,8923.4819
BTC-USD,1774627200000,63979.03,64144.55,61261.1,61885.96,12533.8938
BTC-USD,1774713600000,61885.96,63536.62,61546.96,62626.68,7226.0382
BTC-USD,1774800000000,62626.68,63769.37,60833.48,60961.12,5551.5511
BTC-USD,1774886400000,60961.12,63888.09,60442.96,63640.25,11208.7411
BTC-USD,1774972800000,63640.25,63756.59,62894.49,63486.1,8577.1113
BTC-USD,1775059200000,63486.1,63791.54,61964.69,62869.85,11864.3633
BTC-USD,1775145600000,62869.85,65271.34,62530.56,64767.22,14279.6699
BTC-USD,1775232000000,64767.22,65905.76,64350.93,65067.45,7586.054
BTC-USD,1775318400000,65067.45,65322.13,64875.85,65132.09,17465.8035
BTC-USD,1775404800000,65132.09,65626.55,64482.1,64919.2,6831.1201
BTC-USD,1775491200000,64919.2,65862.45,62159.0,63361.11,15701.7208
BTC-USD,1775577600000,63361.11,63410.06,62328.28,62803.09,7346.0043
BTC-USD,1775664000000,62803.09,63496.59,60298.33,60417.07,14734.2199
BTC-USD,1775750400000,60417.07,60880.25,57718.54,58243.58,15154.4883
BTC-USD,1775836800000,58243.58,58381.64,57269.54,57727.26,8768.2759
BTC-USD,1775923200000,57727.26,57960.76,57488.66,57799.89,11891.1763
BTC-USD,1776009600000,57799.89,58922.93,56757.23,57986.87,15340.4975
BTC-USD,1776096000000,57986.87,60129.14,57589.89,59769.19,5066.5879
BTC-USD,1776182400000,59769.19,60318.8,59094.36,59381.54,14371.6127
BTC-USD,1776268800000,59381.54,59941.12,58038.29,58701.14,17185.3727
BTC-USD,1776355200000,58701.14,58798.76,56821.16,57139.01,14271.3714
BTC-USD,1776441600000,57139.01,58013.75,57079.31,57930.28,8987.8584
BTC-USD,1776528000000,57930.28,59156.44,57881.5,58599.81,19171.2698
BTC-USD,1776614400000,58599.81,60093.91,58512.21,59007.37,16865.5539
BTC-USD,1776700800000,59007.37,59508.82,58760.77,58897.52,6641.029
BTC-USD,1776787200000,58897.52,58970.89,57434.55,57960.98,13853.3874
BTC-USD,1776873600000,57960.98,57986.16,56761.45,57726.18,9466.7787
BTC-USD,1776960000000,57726.18,58379.64,56583.17,56646.8,10530.4616
BTC-USD,1777046400000,56646.8,57983.2,56538.1,56920.71,17227.6209
BTC-USD,1777132800000,56920.71,57864.12,56453.85,57008.49,6023.6552
BTC-USD,1777219200000,57008.49,57082.53,56460.49,56664.5,12122.5799
BTC-USD,1777305600000,56664.5,57238.79,56383.5,56807.89,18908.1407
BTC-USD,1777392000000,56807.89,57135.46,55756.27,56356.34,16783.5237
BTC-USD,1777478400000,56356.34,58232.98,55167.88,58099.45,6630.2246
